 ENERGY        CH4         C2H2        C2H4        C2H6        C6H6   
 2.500E+01     7.214E+00   4.162E+00   5.519E+00   6.487E+00   4.162E+00
 4.970E+01     8.843E+00   5.163E+00   6.799E+00   7.967E+00   5.163E+00
 1.000E+02     7.906E+00   4.730E+00   6.142E+00   7.150E+00   4.730E+00
 2.002E+02     5.652E+00   3.463E+00   4.436E+00   5.130E+00   3.463E+00
 2.993E+02     4.330E+00   2.684E+00   3.416E+00   3.938E+00   2.684E+00
 4.000E+02     3.509E+00   2.192E+00   2.778E+00   3.196E+00   2.192E+00
 4.995E+02     2.958E+00   1.858E+00   2.347E+00   2.696E+00   1.858E+00
 6.996E+02     2.260E+00   1.430E+00   1.799E+00   2.063E+00   1.430E+00
 9.986E+02     1.683E+00   1.072E+00   1.344E+00   1.538E+00   1.072E+00
 1.998E+03     9.306E-01   5.995E-01   7.466E-01   8.517E-01   5.995E-01
 2.970E+03     6.535E-01   4.232E-01   5.256E-01   5.987E-01   4.232E-01
 4.970E+03     4.160E-01   2.710E-01   3.354E-01   3.815E-01   2.710E-01
 6.972E+03     3.084E-01   2.016E-01   2.491E-01   2.830E-01   2.016E-01
 1.000E+04     2.241E-01   1.470E-01   1.813E-01   2.057E-01   1.470E-01
