 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     6.888E+00   3.379E+00   2.962E+00   1.202E+01   8.370E+00
 4.970E+01     8.387E+00   4.532E+00   3.942E+00   1.485E+01   1.036E+01
 1.000E+02     7.393E+00   4.740E+00   4.243E+00   1.346E+01   9.514E+00
 2.002E+02     5.208E+00   3.933E+00   3.673E+00   9.779E+00   7.045E+00
 2.993E+02     3.961E+00   3.233E+00   3.089E+00   7.557E+00   5.505E+00
 4.000E+02     3.194E+00   2.733E+00   2.647E+00   6.158E+00   4.518E+00
 4.995E+02     2.684E+00   2.367E+00   2.315E+00   5.209E+00   3.841E+00
 6.996E+02     2.041E+00   1.876E+00   1.855E+00   4.000E+00   2.968E+00
 9.986E+02     1.513E+00   1.442E+00   1.439E+00   2.991E+00   2.233E+00
 1.998E+03     8.302E-01   8.373E-01   8.462E-01   1.664E+00   1.253E+00
 2.970E+03     5.809E-01   6.015E-01   6.116E-01   1.172E+00   8.867E-01
 4.970E+03     3.683E-01   3.924E-01   4.011E-01   7.486E-01   5.688E-01
 6.972E+03     2.724E-01   2.950E-01   3.023E-01   5.561E-01   4.236E-01
 1.000E+04     1.975E-01   2.173E-01   2.234E-01   4.049E-01   3.092E-01
