 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     1.230E+01   1.508E+00   1.322E+00   6.133E+00   4.982E+00
 4.970E+01     1.498E+01   2.023E+00   1.760E+00   7.574E+00   6.165E+00
 1.000E+02     1.320E+01   2.116E+00   1.894E+00   6.866E+00   5.663E+00
 2.002E+02     9.300E+00   1.756E+00   1.640E+00   4.989E+00   4.193E+00
 2.993E+02     7.072E+00   1.443E+00   1.379E+00   3.855E+00   3.276E+00
 4.000E+02     5.704E+00   1.220E+00   1.181E+00   3.142E+00   2.689E+00
 4.995E+02     4.792E+00   1.057E+00   1.033E+00   2.658E+00   2.286E+00
 6.996E+02     3.644E+00   8.375E-01   8.280E-01   2.040E+00   1.767E+00
 9.986E+02     2.702E+00   6.438E-01   6.425E-01   1.526E+00   1.329E+00
 1.998E+03     1.482E+00   3.738E-01   3.777E-01   8.489E-01   7.460E-01
 2.970E+03     1.037E+00   2.685E-01   2.730E-01   5.979E-01   5.277E-01
 4.970E+03     6.576E-01   1.752E-01   1.790E-01   3.819E-01   3.386E-01
 6.972E+03     4.864E-01   1.317E-01   1.349E-01   2.837E-01   2.521E-01
 1.000E+04     3.526E-01   9.700E-02   9.972E-02   2.065E-01   1.840E-01
