 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     3.177E+00   5.458E+00   5.432E+00   3.670E+00   4.591E+00
 4.970E+01     3.982E+00   6.730E+00   6.701E+00   4.572E+00   5.674E+00
 1.000E+02     3.718E+00   6.088E+00   6.065E+00   4.224E+00   5.166E+00
 2.002E+02     2.777E+00   4.407E+00   4.395E+00   3.120E+00   3.767E+00
 2.993E+02     2.174E+00   3.399E+00   3.392E+00   2.429E+00   2.916E+00
 4.000E+02     1.787E+00   2.766E+00   2.761E+00   1.990E+00   2.380E+00
 4.995E+02     1.520E+00   2.338E+00   2.335E+00   1.689E+00   2.015E+00
 6.996E+02     1.177E+00   1.794E+00   1.791E+00   1.303E+00   1.550E+00
 9.986E+02     8.863E-01   1.340E+00   1.339E+00   9.791E-01   1.160E+00
 1.998E+03     4.993E-01   7.451E-01   7.444E-01   5.494E-01   6.477E-01
 2.970E+03     3.538E-01   5.246E-01   5.242E-01   3.885E-01   4.569E-01
 4.970E+03     2.274E-01   3.349E-01   3.347E-01   2.492E-01   2.922E-01
 6.972E+03     1.695E-01   2.487E-01   2.486E-01   1.856E-01   2.172E-01
 1.000E+04     1.239E-01   1.811E-01   1.810E-01   1.354E-01   1.583E-01
