 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     3.404E+00   5.745E+00   5.850E+00   3.796E+00   4.919E+00
 4.970E+01     4.266E+00   7.084E+00   7.216E+00   4.730E+00   6.079E+00
 1.000E+02     3.983E+00   6.409E+00   6.532E+00   4.369E+00   5.535E+00
 2.002E+02     2.975E+00   4.639E+00   4.733E+00   3.227E+00   4.036E+00
 2.993E+02     2.330E+00   3.578E+00   3.652E+00   2.513E+00   3.125E+00
 4.000E+02     1.915E+00   2.912E+00   2.974E+00   2.058E+00   2.550E+00
 4.995E+02     1.629E+00   2.461E+00   2.514E+00   1.747E+00   2.159E+00
 6.996E+02     1.261E+00   1.888E+00   1.929E+00   1.348E+00   1.660E+00
 9.986E+02     9.496E-01   1.411E+00   1.442E+00   1.013E+00   1.243E+00
 1.998E+03     5.350E-01   7.843E-01   8.017E-01   5.683E-01   6.939E-01
 2.970E+03     3.790E-01   5.522E-01   5.645E-01   4.019E-01   4.895E-01
 4.970E+03     2.436E-01   3.526E-01   3.605E-01   2.578E-01   3.131E-01
 6.972E+03     1.816E-01   2.618E-01   2.677E-01   1.920E-01   2.328E-01
 1.000E+04     1.327E-01   1.906E-01   1.949E-01   1.401E-01   1.696E-01
