 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     2.521E+00   2.684E+00   2.896E+00   2.832E+00   2.491E+00   3.245E+00   2.831E+00
 4.970E+01     3.179E+00   3.391E+00   3.632E+00   3.561E+00   3.153E+00   3.995E+00   3.523E+00
 1.000E+02     3.016E+00   3.211E+00   3.407E+00   3.352E+00   3.003E+00   3.676E+00   3.290E+00
 2.002E+02     2.296E+00   2.433E+00   2.563E+00   2.528E+00   2.290E+00   2.724E+00   2.471E+00
 2.993E+02     1.816E+00   1.919E+00   2.016E+00   1.990E+00   1.812E+00   2.130E+00   1.943E+00
 4.000E+02     1.501E+00   1.584E+00   1.661E+00   1.641E+00   1.499E+00   1.749E+00   1.601E+00
 4.995E+02     1.283E+00   1.352E+00   1.416E+00   1.399E+00   1.280E+00   1.488E+00   1.365E+00
 6.996E+02     9.982E-01   1.050E+00   1.098E+00   1.086E+00   9.967E-01   1.151E+00   1.059E+00
 9.986E+02     7.554E-01   7.935E-01   8.289E-01   8.199E-01   7.543E-01   8.666E-01   7.995E-01
 1.998E+03     4.286E-01   4.492E-01   4.684E-01   4.635E-01   4.281E-01   4.878E-01   4.519E-01
 2.970E+03     3.047E-01   3.190E-01   3.323E-01   3.290E-01   3.043E-01   3.454E-01   3.207E-01
 4.970E+03     1.965E-01   2.056E-01   2.139E-01   2.118E-01   1.963E-01   2.219E-01   2.064E-01
 6.972E+03     1.468E-01   1.535E-01   1.596E-01   1.581E-01   1.467E-01   1.653E-01   1.540E-01
 1.000E+04     1.075E-01   1.123E-01   1.167E-01   1.156E-01   1.074E-01   1.208E-01   1.126E-01
