 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     2.941E+00   2.983E+00   3.310E+00   3.214E+00   2.847E+00   3.905E+00   3.339E+00
 4.970E+01     3.709E+00   3.768E+00   4.150E+00   4.042E+00   3.604E+00   4.809E+00   4.156E+00
 1.000E+02     3.519E+00   3.568E+00   3.894E+00   3.805E+00   3.432E+00   4.424E+00   3.881E+00
 2.002E+02     2.678E+00   2.704E+00   2.929E+00   2.870E+00   2.617E+00   3.279E+00   2.914E+00
 2.993E+02     2.118E+00   2.133E+00   2.304E+00   2.259E+00   2.071E+00   2.563E+00   2.291E+00
 4.000E+02     1.752E+00   1.760E+00   1.898E+00   1.863E+00   1.713E+00   2.105E+00   1.888E+00
 4.995E+02     1.496E+00   1.502E+00   1.618E+00   1.588E+00   1.463E+00   1.791E+00   1.610E+00
 6.996E+02     1.165E+00   1.167E+00   1.255E+00   1.233E+00   1.139E+00   1.385E+00   1.249E+00
 9.986E+02     8.813E-01   8.816E-01   9.474E-01   9.307E-01   8.621E-01   1.043E+00   9.430E-01
 1.998E+03     5.000E-01   4.992E-01   5.353E-01   5.262E-01   4.892E-01   5.871E-01   5.330E-01
 2.970E+03     3.555E-01   3.545E-01   3.798E-01   3.734E-01   3.478E-01   4.158E-01   3.782E-01
 4.970E+03     2.293E-01   2.284E-01   2.444E-01   2.404E-01   2.244E-01   2.671E-01   2.435E-01
 6.972E+03     1.713E-01   1.705E-01   1.824E-01   1.794E-01   1.676E-01   1.990E-01   1.816E-01
 1.000E+04     1.254E-01   1.248E-01   1.334E-01   1.312E-01   1.227E-01   1.454E-01   1.328E-01
