 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     9.897E+01   8.776E+01   9.274E+01   9.630E+01   8.776E+01
 4.970E+01     8.975E+01   8.227E+01   8.559E+01   8.797E+01   8.227E+01
 1.000E+02     6.399E+01   6.035E+01   6.197E+01   6.312E+01   6.035E+01
 2.002E+02     3.990E+01   3.844E+01   3.909E+01   3.955E+01   3.844E+01
 2.993E+02     2.926E+01   2.849E+01   2.883E+01   2.907E+01   2.849E+01
 4.000E+02     2.328E+01   2.282E+01   2.302E+01   2.317E+01   2.282E+01
 4.995E+02     1.943E+01   1.913E+01   1.927E+01   1.936E+01   1.913E+01
 6.996E+02     1.473E+01   1.459E+01   1.465E+01   1.469E+01   1.459E+01
 9.986E+02     1.092E+01   1.089E+01   1.090E+01   1.091E+01   1.089E+01
 1.998E+03     6.042E+00   6.084E+00   6.066E+00   6.052E+00   6.084E+00
 2.970E+03     4.255E+00   4.306E+00   4.283E+00   4.267E+00   4.306E+00
 4.970E+03     2.736E+00   2.794E+00   2.768E+00   2.749E+00   2.794E+00
 6.972E+03     2.054E+00   2.076E+00   2.066E+00   2.059E+00   2.076E+00
 1.000E+04     1.502E+00   1.525E+00   1.515E+00   1.508E+00   1.525E+00
