 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     1.177E+02   5.228E+01   4.140E+01   8.030E+01   6.682E+01
 4.970E+01     1.022E+02   5.788E+01   4.872E+01   7.688E+01   6.655E+01
 1.000E+02     7.006E+01   4.852E+01   4.372E+01   5.775E+01   5.250E+01
 2.002E+02     4.232E+01   3.384E+01   3.207E+01   3.747E+01   3.549E+01
 2.993E+02     3.054E+01   2.596E+01   2.512E+01   2.793E+01   2.693E+01
 4.000E+02     2.406E+01   2.120E+01   2.075E+01   2.243E+01   2.185E+01
 4.995E+02     1.994E+01   1.801E+01   1.774E+01   1.884E+01   1.847E+01
 6.996E+02     1.495E+01   1.396E+01   1.388E+01   1.439E+01   1.423E+01
 9.986E+02     1.098E+01   1.057E+01   1.058E+01   1.075E+01   1.072E+01
 1.998E+03     5.973E+00   6.044E+00   6.120E+00   6.013E+00   6.071E+00
 2.970E+03     4.170E+00   4.344E+00   4.400E+00   4.269E+00   4.323E+00
 4.970E+03     2.638E+00   2.813E+00   2.876E+00   2.738E+00   2.797E+00
 6.972E+03     2.016E+00   2.143E+00   2.166E+00   2.089E+00   2.116E+00
 1.000E+04     1.464E+00   1.576E+00   1.598E+00   1.528E+00   1.554E+00
