 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     7.245E+01   8.375E+01   7.990E+01   8.010E+01   7.971E+01
 4.970E+01     7.028E+01   7.827E+01   7.513E+01   7.627E+01   7.497E+01
 1.000E+02     5.317E+01   5.739E+01   5.543E+01   5.676E+01   5.540E+01
 2.002E+02     3.465E+01   3.657E+01   3.549E+01   3.655E+01   3.555E+01
 2.993E+02     2.591E+01   2.707E+01   2.632E+01   2.720E+01   2.641E+01
 4.000E+02     2.087E+01   2.166E+01   2.108E+01   2.184E+01   2.119E+01
 4.995E+02     1.756E+01   1.815E+01   1.768E+01   1.835E+01   1.778E+01
 6.996E+02     1.345E+01   1.383E+01   1.347E+01   1.402E+01   1.357E+01
 9.986E+02     1.008E+01   1.030E+01   1.005E+01   1.048E+01   1.013E+01
 1.998E+03     5.668E+00   5.744E+00   5.606E+00   5.876E+00   5.668E+00
 2.970E+03     4.029E+00   4.064E+00   3.970E+00   4.167E+00   4.013E+00
 4.970E+03     2.613E+00   2.619E+00   2.555E+00   2.703E+00   2.598E+00
 6.972E+03     1.956E+00   1.971E+00   1.930E+00   2.016E+00   1.942E+00
 1.000E+04     1.437E+00   1.444E+00   1.413E+00   1.481E+00   1.425E+00
