 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     7.762E+01   8.816E+01   8.604E+01   8.286E+01   8.541E+01
 4.970E+01     7.530E+01   8.239E+01   8.090E+01   7.890E+01   8.033E+01
 1.000E+02     5.697E+01   6.042E+01   5.970E+01   5.872E+01   5.936E+01
 2.002E+02     3.713E+01   3.849E+01   3.822E+01   3.781E+01   3.809E+01
 2.993E+02     2.777E+01   2.850E+01   2.834E+01   2.814E+01   2.830E+01
 4.000E+02     2.236E+01   2.281E+01   2.270E+01   2.259E+01   2.270E+01
 4.995E+02     1.881E+01   1.911E+01   1.904E+01   1.898E+01   1.905E+01
 6.996E+02     1.441E+01   1.455E+01   1.451E+01   1.450E+01   1.454E+01
 9.986E+02     1.080E+01   1.085E+01   1.082E+01   1.084E+01   1.086E+01
 1.998E+03     6.073E+00   6.046E+00   6.038E+00   6.079E+00   6.073E+00
 2.970E+03     4.317E+00   4.278E+00   4.276E+00   4.311E+00   4.300E+00
 4.970E+03     2.799E+00   2.757E+00   2.752E+00   2.797E+00   2.783E+00
 6.972E+03     2.095E+00   2.074E+00   2.078E+00   2.085E+00   2.080E+00
 1.000E+04     1.540E+00   1.520E+00   1.522E+00   1.532E+00   1.527E+00
