 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     5.963E+01   6.479E+01   6.377E+01   6.347E+01   6.081E+01   6.560E+01   6.314E+01
 4.970E+01     5.948E+01   6.429E+01   6.274E+01   6.279E+01   6.088E+01   6.256E+01   6.150E+01
 1.000E+02     4.631E+01   4.958E+01   4.826E+01   4.843E+01   4.739E+01   4.728E+01   4.712E+01
 2.002E+02     3.086E+01   3.276E+01   3.189E+01   3.204E+01   3.154E+01   3.098E+01   3.111E+01
 2.993E+02     2.330E+01   2.463E+01   2.399E+01   2.410E+01   2.378E+01   2.324E+01   2.340E+01
 4.000E+02     1.886E+01   1.989E+01   1.938E+01   1.947E+01   1.924E+01   1.875E+01   1.891E+01
 4.995E+02     1.592E+01   1.677E+01   1.634E+01   1.642E+01   1.624E+01   1.579E+01   1.594E+01
 6.996E+02     1.225E+01   1.288E+01   1.255E+01   1.261E+01   1.249E+01   1.211E+01   1.225E+01
 9.986E+02     9.214E+00   9.672E+00   9.425E+00   9.474E+00   9.392E+00   9.085E+00   9.198E+00
 1.998E+03     5.214E+00   5.460E+00   5.321E+00   5.349E+00   5.312E+00   5.122E+00   5.195E+00
 2.970E+03     3.716E+00   3.891E+00   3.787E+00   3.810E+00   3.788E+00   3.637E+00   3.696E+00
 4.970E+03     2.414E+00   2.522E+00   2.458E+00   2.471E+00   2.457E+00   2.355E+00   2.396E+00
 6.972E+03     1.809E+00   1.895E+00   1.841E+00   1.855E+00   1.847E+00   1.764E+00   1.796E+00
 1.000E+04     1.331E+00   1.393E+00   1.354E+00   1.364E+00   1.358E+00   1.294E+00   1.319E+00
