 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     6.957E+01   7.199E+01   7.288E+01   7.205E+01   6.949E+01   7.896E+01   7.448E+01
 4.970E+01     6.939E+01   7.143E+01   7.171E+01   7.127E+01   6.958E+01   7.530E+01   7.253E+01
 1.000E+02     5.402E+01   5.509E+01   5.516E+01   5.498E+01   5.416E+01   5.691E+01   5.557E+01
 2.002E+02     3.600E+01   3.639E+01   3.644E+01   3.636E+01   3.604E+01   3.729E+01   3.669E+01
 2.993E+02     2.718E+01   2.737E+01   2.741E+01   2.736E+01   2.718E+01   2.797E+01   2.760E+01
 4.000E+02     2.200E+01   2.210E+01   2.214E+01   2.210E+01   2.199E+01   2.256E+01   2.230E+01
 4.995E+02     1.858E+01   1.863E+01   1.867E+01   1.864E+01   1.856E+01   1.901E+01   1.880E+01
 6.996E+02     1.429E+01   1.431E+01   1.434E+01   1.432E+01   1.427E+01   1.458E+01   1.445E+01
 9.986E+02     1.075E+01   1.075E+01   1.077E+01   1.075E+01   1.073E+01   1.094E+01   1.085E+01
 1.998E+03     6.083E+00   6.066E+00   6.081E+00   6.072E+00   6.071E+00   6.165E+00   6.127E+00
 2.970E+03     4.335E+00   4.323E+00   4.328E+00   4.325E+00   4.329E+00   4.378E+00   4.359E+00
 4.970E+03     2.816E+00   2.802E+00   2.809E+00   2.805E+00   2.808E+00   2.834E+00   2.826E+00
 6.972E+03     2.111E+00   2.106E+00   2.105E+00   2.106E+00   2.111E+00   2.123E+00   2.118E+00
 1.000E+04     1.553E+00   1.548E+00   1.548E+00   1.548E+00   1.552E+00   1.558E+00   1.556E+00
