 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     5.225E-01   4.114E-01   4.608E-01   4.961E-01   4.114E-01
 4.970E+01     8.786E+00   7.140E+00   7.872E+00   8.394E+00   7.140E+00
 1.000E+02     2.145E+01   1.834E+01   1.972E+01   2.071E+01   1.834E+01
 2.002E+02     2.289E+01   2.061E+01   2.162E+01   2.235E+01   2.061E+01
 2.993E+02     2.008E+01   1.858E+01   1.925E+01   1.972E+01   1.858E+01
 4.000E+02     1.752E+01   1.649E+01   1.695E+01   1.727E+01   1.649E+01
 4.995E+02     1.547E+01   1.474E+01   1.506E+01   1.529E+01   1.474E+01
 6.996E+02     1.252E+01   1.212E+01   1.230E+01   1.242E+01   1.212E+01
 9.986E+02     9.761E+00   9.582E+00   9.662E+00   9.719E+00   9.582E+00
 1.998E+03     5.729E+00   5.729E+00   5.729E+00   5.729E+00   5.729E+00
 2.970E+03     4.109E+00   4.141E+00   4.127E+00   4.116E+00   4.141E+00
 4.970E+03     2.705E+00   2.722E+00   2.714E+00   2.709E+00   2.722E+00
 6.972E+03     2.023E+00   2.043E+00   2.034E+00   2.028E+00   2.043E+00
 1.000E+04     1.502E+00   1.525E+00   1.515E+00   1.508E+00   1.525E+00
