 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     2.477E-02   1.206E-02   6.685E-03   4.319E-02   2.812E-02
 4.970E+01     4.036E-01   4.162E-01   2.967E-01   8.135E-01   5.519E-01
 1.000E+02     9.321E-01   1.634E+00   1.387E+00   2.215E+00   1.626E+00
 2.002E+02     9.349E-01   2.261E+00   2.102E+00   2.533E+00   1.986E+00
 2.993E+02     7.904E-01   2.185E+00   2.092E+00   2.278E+00   1.836E+00
 4.000E+02     6.727E-01   2.016E+00   1.954E+00   2.017E+00   1.650E+00
 4.995E+02     5.838E-01   1.846E+00   1.805E+00   1.799E+00   1.486E+00
 6.996E+02     4.613E-01   1.565E+00   1.546E+00   1.475E+00   1.235E+00
 9.986E+02     3.521E-01   1.271E+00   1.266E+00   1.163E+00   9.851E-01
 1.998E+03     2.005E-01   7.883E-01   7.956E-01   6.948E-01   5.983E-01
 2.970E+03     1.419E-01   5.786E-01   5.873E-01   5.022E-01   4.356E-01
 4.970E+03     9.374E-02   3.836E-01   3.920E-01   3.324E-01   2.898E-01
 6.972E+03     6.965E-02   2.904E-01   2.976E-01   2.497E-01   2.185E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
