 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     7.078E-01   8.612E-02   4.775E-02   3.526E-01   2.678E-01
 4.970E+01     1.153E+01   2.973E+00   2.119E+00   6.640E+00   5.256E+00
 1.000E+02     2.663E+01   1.167E+01   9.910E+00   1.808E+01   1.548E+01
 2.002E+02     2.671E+01   1.615E+01   1.501E+01   2.067E+01   1.891E+01
 2.993E+02     2.258E+01   1.561E+01   1.494E+01   1.860E+01   1.749E+01
 4.000E+02     1.922E+01   1.440E+01   1.396E+01   1.646E+01   1.571E+01
 4.995E+02     1.668E+01   1.318E+01   1.289E+01   1.468E+01   1.415E+01
 6.996E+02     1.318E+01   1.118E+01   1.104E+01   1.204E+01   1.176E+01
 9.986E+02     1.006E+01   9.075E+00   9.043E+00   9.497E+00   9.382E+00
 1.998E+03     5.727E+00   5.630E+00   5.683E+00   5.672E+00   5.697E+00
 2.970E+03     4.055E+00   4.133E+00   4.195E+00   4.099E+00   4.148E+00
 4.970E+03     2.678E+00   2.740E+00   2.800E+00   2.713E+00   2.759E+00
 6.972E+03     1.990E+00   2.074E+00   2.126E+00   2.038E+00   2.080E+00
 1.000E+04     1.464E+00   1.576E+00   1.598E+00   1.528E+00   1.554E+00
