 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     2.972E-01   3.999E-01   3.737E-01   3.543E-01   3.750E-01
 4.970E+01     5.553E+00   7.047E+00   6.694E+00   6.346E+00   6.580E+00
 1.000E+02     1.534E+01   1.816E+01   1.749E+01   1.684E+01   1.710E+01
 2.002E+02     1.804E+01   2.021E+01   1.960E+01   1.932E+01   1.930E+01
 2.993E+02     1.655E+01   1.806E+01   1.755E+01   1.756E+01   1.739E+01
 4.000E+02     1.483E+01   1.593E+01   1.550E+01   1.566E+01   1.542E+01
 4.995E+02     1.334E+01   1.418E+01   1.380E+01   1.404E+01   1.377E+01
 6.996E+02     1.106E+01   1.159E+01   1.129E+01   1.159E+01   1.131E+01
 9.986E+02     8.808E+00   9.121E+00   8.889E+00   9.195E+00   8.935E+00
 1.998E+03     5.321E+00   5.422E+00   5.291E+00   5.525E+00   5.341E+00
 2.970E+03     3.863E+00   3.911E+00   3.818E+00   4.002E+00   3.861E+00
 4.970E+03     2.545E+00   2.578E+00   2.520E+00   2.633E+00   2.545E+00
 6.972E+03     1.915E+00   1.934E+00   1.891E+00   1.979E+00   1.911E+00
 1.000E+04     1.437E+00   1.444E+00   1.413E+00   1.481E+00   1.425E+00
