 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     2.214E-01   2.401E-01   2.513E-01   2.419E-01   2.178E-01   2.828E-01   2.530E-01
 4.970E+01     4.370E+00   4.759E+00   4.808E+00   4.726E+00   4.400E+00   4.900E+00   4.644E+00
 1.000E+02     1.284E+01   1.384E+01   1.370E+01   1.364E+01   1.306E+01   1.355E+01   1.323E+01
 2.002E+02     1.575E+01   1.676E+01   1.648E+01   1.649E+01   1.604E+01   1.616E+01   1.601E+01
 2.993E+02     1.467E+01   1.553E+01   1.524E+01   1.527E+01   1.494E+01   1.489E+01   1.484E+01
 4.000E+02     1.325E+01   1.401E+01   1.372E+01   1.375E+01   1.350E+01   1.336E+01   1.337E+01
 4.995E+02     1.199E+01   1.264E+01   1.237E+01   1.241E+01   1.221E+01   1.203E+01   1.206E+01
 6.996E+02     1.000E+01   1.053E+01   1.029E+01   1.033E+01   1.019E+01   9.981E+00   1.004E+01
 9.986E+02     8.014E+00   8.421E+00   8.220E+00   8.256E+00   8.165E+00   7.951E+00   8.023E+00
 1.998E+03     4.883E+00   5.117E+00   4.989E+00   5.014E+00   4.974E+00   4.806E+00   4.869E+00
 2.970E+03     3.558E+00   3.724E+00   3.629E+00   3.649E+00   3.624E+00   3.490E+00   3.542E+00
 4.970E+03     2.351E+00   2.457E+00   2.397E+00   2.409E+00   2.394E+00   2.303E+00   2.338E+00
 6.972E+03     1.773E+00   1.851E+00   1.806E+00   1.816E+00   1.805E+00   1.733E+00   1.761E+00
 1.000E+04     1.331E+00   1.393E+00   1.354E+00   1.364E+00   1.358E+00   1.294E+00   1.319E+00
