 ENERGY      SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA    SLGUANINA
 2.500E+01     2.583E-01   2.668E-01   2.872E-01   2.746E-01   2.489E-01
 4.970E+01     5.098E+00   5.288E+00   5.494E+00   5.364E+00   5.029E+00
 1.000E+02     1.498E+01   1.537E+01   1.566E+01   1.549E+01   1.493E+01
 2.002E+02     1.837E+01   1.862E+01   1.884E+01   1.872E+01   1.833E+01
 2.993E+02     1.711E+01   1.726E+01   1.742E+01   1.733E+01   1.707E+01
 4.000E+02     1.546E+01   1.556E+01   1.567E+01   1.561E+01   1.543E+01
 4.995E+02     1.398E+01   1.405E+01   1.414E+01   1.409E+01   1.395E+01
 6.996E+02     1.167E+01   1.170E+01   1.176E+01   1.173E+01   1.165E+01
 9.986E+02     9.349E+00   9.357E+00   9.394E+00   9.372E+00   9.331E+00
 1.998E+03     5.697E+00   5.685E+00   5.701E+00   5.692E+00   5.685E+00
 2.970E+03     4.151E+00   4.137E+00   4.148E+00   4.142E+00   4.142E+00
 4.970E+03     2.743E+00   2.730E+00   2.739E+00   2.735E+00   2.736E+00
 6.972E+03     2.069E+00   2.057E+00   2.064E+00   2.061E+00   2.063E+00
 1.000E+04     1.553E+00   1.548E+00   1.548E+00   1.548E+00   1.552E+00
