 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     3.184E-01   4.209E-01   4.025E-01   3.665E-01   4.018E-01
 4.970E+01     5.949E+00   7.418E+00   7.208E+00   6.565E+00   7.050E+00
 1.000E+02     1.643E+01   1.912E+01   1.884E+01   1.742E+01   1.832E+01
 2.002E+02     1.933E+01   2.127E+01   2.111E+01   1.999E+01   2.068E+01
 2.993E+02     1.773E+01   1.901E+01   1.890E+01   1.817E+01   1.863E+01
 4.000E+02     1.589E+01   1.677E+01   1.669E+01   1.620E+01   1.652E+01
 4.995E+02     1.429E+01   1.492E+01   1.486E+01   1.453E+01   1.475E+01
 6.996E+02     1.185E+01   1.220E+01   1.216E+01   1.199E+01   1.212E+01
 9.986E+02     9.437E+00   9.601E+00   9.573E+00   9.512E+00   9.573E+00
 1.998E+03     5.701E+00   5.708E+00   5.698E+00   5.716E+00   5.722E+00
 2.970E+03     4.139E+00   4.117E+00   4.112E+00   4.140E+00   4.136E+00
 4.970E+03     2.727E+00   2.714E+00   2.714E+00   2.724E+00   2.727E+00
 6.972E+03     2.052E+00   2.036E+00   2.036E+00   2.048E+00   2.048E+00
 1.000E+04     1.540E+00   1.520E+00   1.522E+00   1.532E+00   1.527E+00
