 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     1.630E+02   1.884E+02   1.798E+02   1.802E+02   1.794E+02
 4.970E+01     1.581E+02   1.761E+02   1.690E+02   1.716E+02   1.687E+02
 1.000E+02     1.196E+02   1.291E+02   1.247E+02   1.277E+02   1.247E+02
 2.002E+02     7.796E+01   8.228E+01   7.985E+01   8.223E+01   7.998E+01
 2.993E+02     5.831E+01   6.091E+01   5.922E+01   6.120E+01   5.943E+01
 4.000E+02     4.695E+01   4.875E+01   4.744E+01   4.914E+01   4.767E+01
 4.995E+02     3.951E+01   4.084E+01   3.977E+01   4.128E+01   4.000E+01
 6.996E+02     3.026E+01   3.111E+01   3.031E+01   3.155E+01   3.053E+01
 9.986E+02     2.267E+01   2.318E+01   2.260E+01   2.359E+01   2.280E+01
 1.998E+03     1.275E+01   1.292E+01   1.261E+01   1.322E+01   1.275E+01
 2.970E+03     9.065E+00   9.144E+00   8.933E+00   9.377E+00   9.030E+00
 4.970E+03     5.879E+00   5.893E+00   5.749E+00   6.082E+00   5.845E+00
 6.972E+03     4.400E+00   4.434E+00   4.342E+00   4.536E+00   4.369E+00
 1.000E+04     3.234E+00   3.249E+00   3.180E+00   3.333E+00   3.207E+00
