 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     1.342E+02   1.458E+02   1.435E+02   1.428E+02   1.368E+02   1.476E+02   1.421E+02
 4.970E+01     1.338E+02   1.446E+02   1.412E+02   1.413E+02   1.370E+02   1.407E+02   1.384E+02
 1.000E+02     1.042E+02   1.116E+02   1.086E+02   1.090E+02   1.066E+02   1.064E+02   1.060E+02
 2.002E+02     6.943E+01   7.370E+01   7.175E+01   7.208E+01   7.096E+01   6.970E+01   6.999E+01
 2.993E+02     5.241E+01   5.541E+01   5.397E+01   5.423E+01   5.351E+01   5.229E+01   5.265E+01
 4.000E+02     4.243E+01   4.475E+01   4.360E+01   4.381E+01   4.329E+01   4.218E+01   4.254E+01
 4.995E+02     3.582E+01   3.774E+01   3.676E+01   3.695E+01   3.654E+01   3.553E+01   3.587E+01
 6.996E+02     2.756E+01   2.898E+01   2.824E+01   2.838E+01   2.810E+01   2.726E+01   2.756E+01
 9.986E+02     2.073E+01   2.176E+01   2.121E+01   2.132E+01   2.113E+01   2.044E+01   2.070E+01
 1.998E+03     1.173E+01   1.228E+01   1.197E+01   1.204E+01   1.195E+01   1.152E+01   1.169E+01
 2.970E+03     8.361E+00   8.754E+00   8.520E+00   8.572E+00   8.523E+00   8.184E+00   8.316E+00
 4.970E+03     5.432E+00   5.675E+00   5.531E+00   5.559E+00   5.529E+00   5.298E+00   5.392E+00
 6.972E+03     4.071E+00   4.265E+00   4.143E+00   4.174E+00   4.156E+00   3.968E+00   4.041E+00
 1.000E+04     2.995E+00   3.135E+00   3.047E+00   3.069E+00   3.056E+00   2.912E+00   2.968E+00
