 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     1.797E-03   6.290E-04   2.842E-04   3.010E-03   1.939E-03
 4.970E+01     1.266E-01   1.074E-01   7.075E-02   2.435E-01   1.619E-01
 1.000E+02     5.260E-01   8.172E-01   6.748E-01   1.198E+00   8.634E-01
 2.002E+02     6.809E-01   1.479E+00   1.361E+00   1.761E+00   1.361E+00
 2.993E+02     6.282E-01   1.567E+00   1.484E+00   1.726E+00   1.370E+00
 4.000E+02     5.604E-01   1.523E+00   1.463E+00   1.602E+00   1.292E+00
 4.995E+02     5.008E-01   1.449E+00   1.403E+00   1.475E+00   1.202E+00
 6.996E+02     4.105E-01   1.292E+00   1.265E+00   1.262E+00   1.043E+00
 9.986E+02     3.228E-01   1.097E+00   1.085E+00   1.033E+00   8.654E-01
 1.998E+03     1.910E-01   7.274E-01   7.310E-01   6.503E-01   5.565E-01
 2.970E+03     1.414E-01   5.554E-01   5.607E-01   4.898E-01   4.218E-01
 4.970E+03     9.183E-02   3.766E-01   3.830E-01   3.261E-01   2.833E-01
 6.972E+03     6.862E-02   2.881E-01   2.940E-01   2.470E-01   2.156E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
