 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     1.155E-01   1.011E-02   4.568E-03   5.528E-02   4.155E-02
 4.970E+01     8.136E+00   1.725E+00   1.137E+00   4.473E+00   3.470E+00
 1.000E+02     3.381E+01   1.313E+01   1.085E+01   2.199E+01   1.850E+01
 2.002E+02     4.377E+01   2.377E+01   2.187E+01   3.234E+01   2.917E+01
 2.993E+02     4.038E+01   2.518E+01   2.386E+01   3.169E+01   2.936E+01
 4.000E+02     3.602E+01   2.448E+01   2.352E+01   2.943E+01   2.768E+01
 4.995E+02     3.219E+01   2.328E+01   2.255E+01   2.710E+01   2.576E+01
 6.996E+02     2.639E+01   2.076E+01   2.032E+01   2.317E+01   2.235E+01
 9.986E+02     2.075E+01   1.764E+01   1.744E+01   1.897E+01   1.854E+01
 1.998E+03     1.228E+01   1.169E+01   1.175E+01   1.194E+01   1.192E+01
 2.970E+03     9.092E+00   8.925E+00   9.010E+00   8.997E+00   9.037E+00
 4.970E+03     5.903E+00   6.053E+00   6.155E+00   5.988E+00   6.071E+00
 6.972E+03     4.411E+00   4.630E+00   4.725E+00   4.536E+00   4.620E+00
 1.000E+04     3.294E+00   3.546E+00   3.596E+00   3.438E+00   3.496E+00
