 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     5.334E-02   6.888E-02   6.302E-02   6.465E-02   6.665E-02
 4.970E+01     3.862E+00   4.931E+00   4.640E+00   4.483E+00   4.639E+00
 1.000E+02     1.857E+01   2.238E+01   2.148E+01   2.058E+01   2.102E+01
 2.002E+02     2.769E+01   3.171E+01   3.074E+01   2.986E+01   3.011E+01
 2.993E+02     2.767E+01   3.085E+01   2.996E+01   2.955E+01   2.952E+01
 4.000E+02     2.606E+01   2.855E+01   2.775E+01   2.768E+01   2.747E+01
 4.995E+02     2.426E+01   2.624E+01   2.552E+01   2.567E+01   2.535E+01
 6.996E+02     2.103E+01   2.237E+01   2.177E+01   2.214E+01   2.173E+01
 9.986E+02     1.743E+01   1.826E+01   1.779E+01   1.826E+01   1.782E+01
 1.998E+03     1.116E+01   1.144E+01   1.115E+01   1.161E+01   1.124E+01
 2.970E+03     8.428E+00   8.594E+00   8.388E+00   8.750E+00   8.462E+00
 4.970E+03     5.641E+00   5.707E+00   5.573E+00   5.841E+00   5.635E+00
 6.972E+03     4.284E+00   4.316E+00   4.217E+00   4.429E+00   4.268E+00
 1.000E+04     3.234E+00   3.249E+00   3.180E+00   3.333E+00   3.207E+00
