 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     5.714E-02   7.250E-02   6.786E-02   6.688E-02   7.141E-02
 4.970E+01     4.138E+00   5.190E+00   4.997E+00   4.637E+00   4.970E+00
 1.000E+02     1.989E+01   2.356E+01   2.314E+01   2.129E+01   2.252E+01
 2.002E+02     2.967E+01   3.338E+01   3.310E+01   3.089E+01   3.226E+01
 2.993E+02     2.965E+01   3.247E+01   3.226E+01   3.057E+01   3.163E+01
 4.000E+02     2.793E+01   3.006E+01   2.989E+01   2.864E+01   2.944E+01
 4.995E+02     2.599E+01   2.762E+01   2.748E+01   2.655E+01   2.716E+01
 6.996E+02     2.254E+01   2.355E+01   2.345E+01   2.290E+01   2.328E+01
 9.986E+02     1.868E+01   1.922E+01   1.915E+01   1.889E+01   1.909E+01
 1.998E+03     1.195E+01   1.204E+01   1.201E+01   1.201E+01   1.205E+01
 2.970E+03     9.030E+00   9.047E+00   9.033E+00   9.052E+00   9.066E+00
 4.970E+03     6.044E+00   6.007E+00   6.002E+00   6.042E+00   6.037E+00
 6.972E+03     4.590E+00   4.543E+00   4.541E+00   4.582E+00   4.572E+00
 1.000E+04     3.465E+00   3.420E+00   3.425E+00   3.448E+00   3.436E+00
