 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     3.897E-02   4.202E-02   4.441E-02   4.224E-02   3.785E-02   5.304E-02   4.645E-02
 4.970E+01     2.975E+00   3.242E+00   3.304E+00   3.225E+00   2.976E+00   3.417E+00   3.204E+00
 1.000E+02     1.533E+01   1.655E+01   1.647E+01   1.635E+01   1.555E+01   1.634E+01   1.587E+01
 2.002E+02     2.395E+01   2.552E+01   2.520E+01   2.517E+01   2.435E+01   2.482E+01   2.445E+01
 2.993E+02     2.431E+01   2.579E+01   2.539E+01   2.540E+01   2.473E+01   2.491E+01   2.470E+01
 4.000E+02     2.310E+01   2.444E+01   2.401E+01   2.405E+01   2.350E+01   2.350E+01   2.339E+01
 4.995E+02     2.162E+01   2.285E+01   2.241E+01   2.246E+01   2.201E+01   2.188E+01   2.185E+01
 6.996E+02     1.890E+01   1.993E+01   1.950E+01   1.957E+01   1.924E+01   1.898E+01   1.903E+01
 9.986E+02     1.577E+01   1.660E+01   1.622E+01   1.629E+01   1.607E+01   1.574E+01   1.583E+01
 1.998E+03     1.021E+01   1.071E+01   1.044E+01   1.049E+01   1.040E+01   1.007E+01   1.019E+01
 2.970E+03     7.736E+00   8.106E+00   7.904E+00   7.945E+00   7.881E+00   7.598E+00   7.705E+00
 4.970E+03     5.202E+00   5.441E+00   5.304E+00   5.333E+00   5.298E+00   5.087E+00   5.169E+00
 6.972E+03     3.960E+00   4.139E+00   4.033E+00   4.056E+00   4.033E+00   3.863E+00   3.931E+00
 1.000E+04     2.995E+00   3.135E+00   3.047E+00   3.069E+00   3.056E+00   2.912E+00   2.968E+00
