 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     4.546E-02   4.669E-02   5.076E-02   4.795E-02   4.325E-02   6.384E-02   5.479E-02
 4.970E+01     3.471E+00   3.602E+00   3.777E+00   3.661E+00   3.401E+00   4.113E+00   3.779E+00
 1.000E+02     1.788E+01   1.839E+01   1.882E+01   1.856E+01   1.778E+01   1.967E+01   1.872E+01
 2.002E+02     2.794E+01   2.836E+01   2.880E+01   2.857E+01   2.783E+01   2.987E+01   2.884E+01
 2.993E+02     2.836E+01   2.865E+01   2.901E+01   2.883E+01   2.826E+01   2.999E+01   2.913E+01
 4.000E+02     2.695E+01   2.716E+01   2.744E+01   2.730E+01   2.686E+01   2.829E+01   2.759E+01
 4.995E+02     2.523E+01   2.539E+01   2.561E+01   2.549E+01   2.516E+01   2.634E+01   2.577E+01
 6.996E+02     2.204E+01   2.214E+01   2.229E+01   2.221E+01   2.199E+01   2.285E+01   2.244E+01
 9.986E+02     1.840E+01   1.845E+01   1.854E+01   1.849E+01   1.836E+01   1.894E+01   1.867E+01
 1.998E+03     1.191E+01   1.189E+01   1.193E+01   1.191E+01   1.188E+01   1.213E+01   1.202E+01
 2.970E+03     9.026E+00   9.007E+00   9.033E+00   9.018E+00   9.007E+00   9.146E+00   9.088E+00
 4.970E+03     6.069E+00   6.046E+00   6.061E+00   6.053E+00   6.055E+00   6.123E+00   6.097E+00
 6.972E+03     4.620E+00   4.599E+00   4.610E+00   4.604E+00   4.609E+00   4.650E+00   4.636E+00
 1.000E+04     3.494E+00   3.483E+00   3.482E+00   3.483E+00   3.492E+00   3.505E+00   3.501E+00
