 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     2.227E+02   1.975E+02   2.087E+02   2.167E+02   1.975E+02
 4.970E+01     2.019E+02   1.851E+02   1.926E+02   1.979E+02   1.851E+02
 1.000E+02     1.440E+02   1.358E+02   1.394E+02   1.420E+02   1.358E+02
 2.002E+02     8.977E+01   8.649E+01   8.795E+01   8.899E+01   8.649E+01
 2.993E+02     6.583E+01   6.409E+01   6.487E+01   6.542E+01   6.409E+01
 4.000E+02     5.239E+01   5.134E+01   5.180E+01   5.214E+01   5.134E+01
 4.995E+02     4.373E+01   4.305E+01   4.335E+01   4.357E+01   4.305E+01
 6.996E+02     3.313E+01   3.283E+01   3.296E+01   3.306E+01   3.283E+01
 9.986E+02     2.458E+01   2.450E+01   2.453E+01   2.456E+01   2.450E+01
 1.998E+03     1.360E+01   1.369E+01   1.365E+01   1.362E+01   1.369E+01
 2.970E+03     9.573E+00   9.688E+00   9.637E+00   9.601E+00   9.688E+00
 4.970E+03     6.155E+00   6.286E+00   6.228E+00   6.186E+00   6.286E+00
 6.972E+03     4.621E+00   4.671E+00   4.649E+00   4.633E+00   4.671E+00
 1.000E+04     3.381E+00   3.432E+00   3.409E+00   3.393E+00   3.432E+00
