 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     2.647E+02   1.176E+02   9.315E+01   1.807E+02   1.503E+02
 4.970E+01     2.300E+02   1.302E+02   1.096E+02   1.730E+02   1.497E+02
 1.000E+02     1.576E+02   1.092E+02   9.837E+01   1.299E+02   1.181E+02
 2.002E+02     9.522E+01   7.613E+01   7.216E+01   8.431E+01   7.985E+01
 2.993E+02     6.872E+01   5.842E+01   5.652E+01   6.284E+01   6.059E+01
 4.000E+02     5.414E+01   4.771E+01   4.668E+01   5.047E+01   4.917E+01
 4.995E+02     4.486E+01   4.053E+01   3.992E+01   4.238E+01   4.157E+01
 6.996E+02     3.364E+01   3.141E+01   3.122E+01   3.237E+01   3.203E+01
 9.986E+02     2.471E+01   2.379E+01   2.381E+01   2.418E+01   2.411E+01
 1.998E+03     1.344E+01   1.360E+01   1.377E+01   1.353E+01   1.366E+01
 2.970E+03     9.382E+00   9.774E+00   9.900E+00   9.606E+00   9.727E+00
 4.970E+03     5.936E+00   6.329E+00   6.471E+00   6.161E+00   6.293E+00
 6.972E+03     4.536E+00   4.822E+00   4.873E+00   4.700E+00   4.760E+00
 1.000E+04     3.294E+00   3.546E+00   3.596E+00   3.438E+00   3.496E+00
