 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     1.746E+02   1.984E+02   1.936E+02   1.864E+02   1.922E+02
 4.970E+01     1.694E+02   1.854E+02   1.820E+02   1.775E+02   1.807E+02
 1.000E+02     1.282E+02   1.359E+02   1.343E+02   1.321E+02   1.336E+02
 2.002E+02     8.353E+01   8.661E+01   8.599E+01   8.506E+01   8.569E+01
 2.993E+02     6.247E+01   6.412E+01   6.377E+01   6.331E+01   6.367E+01
 4.000E+02     5.030E+01   5.131E+01   5.108E+01   5.084E+01   5.107E+01
 4.995E+02     4.233E+01   4.299E+01   4.283E+01   4.270E+01   4.286E+01
 6.996E+02     3.242E+01   3.274E+01   3.264E+01   3.263E+01   3.271E+01
 9.986E+02     2.429E+01   2.440E+01   2.434E+01   2.440E+01   2.443E+01
 1.998E+03     1.366E+01   1.360E+01   1.358E+01   1.368E+01   1.367E+01
 2.970E+03     9.713E+00   9.626E+00   9.620E+00   9.700E+00   9.675E+00
 4.970E+03     6.298E+00   6.203E+00   6.192E+00   6.292E+00   6.263E+00
 6.972E+03     4.714E+00   4.667E+00   4.676E+00   4.692E+00   4.681E+00
 1.000E+04     3.465E+00   3.420E+00   3.425E+00   3.448E+00   3.436E+00
