 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     1.565E+02   1.620E+02   1.640E+02   1.621E+02   1.564E+02   1.777E+02   1.676E+02
 4.970E+01     1.561E+02   1.607E+02   1.613E+02   1.604E+02   1.565E+02   1.694E+02   1.632E+02
 1.000E+02     1.216E+02   1.240E+02   1.241E+02   1.237E+02   1.219E+02   1.281E+02   1.250E+02
 2.002E+02     8.101E+01   8.189E+01   8.200E+01   8.182E+01   8.109E+01   8.389E+01   8.255E+01
 2.993E+02     6.115E+01   6.157E+01   6.168E+01   6.156E+01   6.116E+01   6.294E+01   6.210E+01
 4.000E+02     4.950E+01   4.972E+01   4.983E+01   4.973E+01   4.948E+01   5.077E+01   5.017E+01
 4.995E+02     4.179E+01   4.193E+01   4.202E+01   4.194E+01   4.176E+01   4.277E+01   4.231E+01
 6.996E+02     3.216E+01   3.220E+01   3.227E+01   3.222E+01   3.212E+01   3.281E+01   3.250E+01
 9.986E+02     2.419E+01   2.418E+01   2.424E+01   2.420E+01   2.415E+01   2.461E+01   2.441E+01
 1.998E+03     1.369E+01   1.365E+01   1.368E+01   1.366E+01   1.366E+01   1.387E+01   1.379E+01
 2.970E+03     9.754E+00   9.726E+00   9.738E+00   9.731E+00   9.741E+00   9.851E+00   9.809E+00
 4.970E+03     6.337E+00   6.305E+00   6.321E+00   6.311E+00   6.319E+00   6.377E+00   6.360E+00
 6.972E+03     4.750E+00   4.738E+00   4.735E+00   4.738E+00   4.749E+00   4.777E+00   4.766E+00
 1.000E+04     3.494E+00   3.483E+00   3.482E+00   3.483E+00   3.492E+00   3.505E+00   3.501E+00
