 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     9.079E-02   7.596E-02   8.255E-02   8.726E-02   7.596E-02
 4.970E+01     6.240E+00   5.103E+00   5.609E+00   5.970E+00   5.103E+00
 1.000E+02     2.680E+01   2.260E+01   2.447E+01   2.580E+01   2.260E+01
 2.002E+02     3.644E+01   3.203E+01   3.399E+01   3.539E+01   3.203E+01
 2.993E+02     3.479E+01   3.144E+01   3.293E+01   3.399E+01   3.144E+01
 4.000E+02     3.182E+01   2.930E+01   3.042E+01   3.122E+01   2.930E+01
 4.995E+02     2.899E+01   2.708E+01   2.793E+01   2.854E+01   2.708E+01
 6.996E+02     2.443E+01   2.325E+01   2.377E+01   2.414E+01   2.325E+01
 9.986E+02     1.971E+01   1.909E+01   1.937E+01   1.957E+01   1.909E+01
 1.998E+03     1.214E+01   1.206E+01   1.209E+01   1.212E+01   1.206E+01
 2.970E+03     9.080E+00   9.072E+00   9.076E+00   9.078E+00   9.072E+00
 4.970E+03     5.989E+00   6.041E+00   6.018E+00   6.001E+00   6.041E+00
 6.972E+03     4.513E+00   4.574E+00   4.547E+00   4.528E+00   4.574E+00
 1.000E+04     3.381E+00   3.432E+00   3.409E+00   3.393E+00   3.432E+00
