 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     1.811E+01   2.094E+01   1.997E+01   2.003E+01   1.993E+01
 4.970E+01     1.757E+01   1.957E+01   1.878E+01   1.907E+01   1.874E+01
 1.000E+02     1.329E+01   1.435E+01   1.386E+01   1.419E+01   1.385E+01
 2.002E+02     8.663E+00   9.142E+00   8.872E+00   9.137E+00   8.887E+00
 2.993E+02     6.479E+00   6.768E+00   6.580E+00   6.800E+00   6.603E+00
 4.000E+02     5.216E+00   5.416E+00   5.271E+00   5.460E+00   5.296E+00
 4.995E+02     4.390E+00   4.538E+00   4.419E+00   4.586E+00   4.445E+00
 6.996E+02     3.362E+00   3.456E+00   3.368E+00   3.505E+00   3.393E+00
 9.986E+02     2.519E+00   2.576E+00   2.512E+00   2.621E+00   2.533E+00
 1.998E+03     1.417E+00   1.436E+00   1.402E+00   1.469E+00   1.417E+00
 2.970E+03     1.007E+00   1.016E+00   9.926E-01   1.042E+00   1.003E+00
 4.970E+03     6.532E-01   6.548E-01   6.388E-01   6.758E-01   6.495E-01
 6.972E+03     4.889E-01   4.927E-01   4.825E-01   5.040E-01   4.854E-01
 1.000E+04     3.593E-01   3.610E-01   3.534E-01   3.703E-01   3.563E-01
