 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     1.491E+01   1.620E+01   1.594E+01   1.587E+01   1.520E+01   1.640E+01   1.579E+01
 4.970E+01     1.487E+01   1.607E+01   1.569E+01   1.570E+01   1.522E+01   1.564E+01   1.537E+01
 1.000E+02     1.158E+01   1.240E+01   1.207E+01   1.211E+01   1.185E+01   1.182E+01   1.178E+01
 2.002E+02     7.715E+00   8.189E+00   7.972E+00   8.009E+00   7.884E+00   7.744E+00   7.776E+00
 2.993E+02     5.824E+00   6.157E+00   5.997E+00   6.026E+00   5.946E+00   5.810E+00   5.850E+00
 4.000E+02     4.714E+00   4.972E+00   4.844E+00   4.868E+00   4.810E+00   4.687E+00   4.726E+00
 4.995E+02     3.980E+00   4.193E+00   4.085E+00   4.105E+00   4.060E+00   3.948E+00   3.986E+00
 6.996E+02     3.062E+00   3.220E+00   3.137E+00   3.153E+00   3.123E+00   3.028E+00   3.062E+00
 9.986E+02     2.304E+00   2.418E+00   2.356E+00   2.369E+00   2.348E+00   2.271E+00   2.299E+00
 1.998E+03     1.304E+00   1.365E+00   1.330E+00   1.337E+00   1.328E+00   1.280E+00   1.299E+00
 2.970E+03     9.290E-01   9.726E-01   9.467E-01   9.525E-01   9.470E-01   9.094E-01   9.240E-01
 4.970E+03     6.035E-01   6.305E-01   6.146E-01   6.177E-01   6.143E-01   5.887E-01   5.991E-01
 6.972E+03     4.523E-01   4.738E-01   4.604E-01   4.638E-01   4.617E-01   4.409E-01   4.489E-01
 1.000E+04     3.328E-01   3.483E-01   3.385E-01   3.409E-01   3.395E-01   3.235E-01   3.298E-01
