 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     2.110E+00   1.684E+00   1.873E+00   2.009E+00   1.684E+00
 4.970E+01     8.170E+00   6.874E+00   7.450E+00   7.861E+00   6.874E+00
 1.000E+02     1.061E+01   9.458E+00   9.972E+00   1.034E+01   9.458E+00
 2.002E+02     8.398E+00   7.849E+00   8.093E+00   8.267E+00   7.849E+00
 2.993E+02     6.590E+00   6.292E+00   6.424E+00   6.519E+00   6.292E+00
 4.000E+02     5.406E+00   5.224E+00   5.305E+00   5.363E+00   5.224E+00
 4.995E+02     4.591E+00   4.472E+00   4.525E+00   4.562E+00   4.472E+00
 6.996E+02     3.544E+00   3.488E+00   3.513E+00   3.531E+00   3.488E+00
 9.986E+02     2.662E+00   2.643E+00   2.652E+00   2.658E+00   2.643E+00
 1.998E+03     1.511E+00   1.521E+00   1.516E+00   1.513E+00   1.521E+00
 2.970E+03     1.064E+00   1.076E+00   1.071E+00   1.067E+00   1.076E+00
 4.970E+03     6.839E-01   6.985E-01   6.920E-01   6.874E-01   6.985E-01
 6.972E+03     5.134E-01   5.190E-01   5.165E-01   5.147E-01   5.190E-01
 1.000E+04     3.756E-01   3.814E-01   3.788E-01   3.770E-01   3.814E-01
