 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     9.921E-01   1.081E+00   1.102E+00   1.078E+00   9.941E-01   1.160E+00   1.079E+00
 4.970E+01     4.544E+00   4.937E+00   4.907E+00   4.869E+00   4.617E+00   4.907E+00   4.742E+00
 1.000E+02     6.973E+00   7.483E+00   7.348E+00   7.349E+00   7.116E+00   7.214E+00   7.125E+00
 2.002E+02     6.208E+00   6.587E+00   6.444E+00   6.463E+00   6.332E+00   6.278E+00   6.273E+00
 2.993E+02     5.104E+00   5.392E+00   5.269E+00   5.288E+00   5.203E+00   5.119E+00   5.136E+00
 4.000E+02     4.294E+00   4.527E+00   4.421E+00   4.439E+00   4.377E+00   4.287E+00   4.312E+00
 4.995E+02     3.707E+00   3.902E+00   3.809E+00   3.825E+00   3.778E+00   3.690E+00   3.717E+00
 6.996E+02     2.921E+00   3.070E+00   2.995E+00   3.009E+00   2.977E+00   2.896E+00   2.923E+00
 9.986E+02     2.233E+00   2.343E+00   2.285E+00   2.297E+00   2.275E+00   2.206E+00   2.231E+00
 1.998E+03     1.304E+00   1.365E+00   1.330E+00   1.337E+00   1.328E+00   1.280E+00   1.299E+00
 2.970E+03     9.290E-01   9.726E-01   9.467E-01   9.525E-01   9.470E-01   9.094E-01   9.240E-01
 4.970E+03     6.035E-01   6.305E-01   6.146E-01   6.177E-01   6.143E-01   5.887E-01   5.991E-01
 6.972E+03     4.523E-01   4.738E-01   4.604E-01   4.638E-01   4.617E-01   4.409E-01   4.489E-01
 1.000E+04     3.328E-01   3.483E-01   3.385E-01   3.409E-01   3.395E-01   3.235E-01   3.298E-01
