 ENERGY       SLCH4      SLC2H2     SLC2H4      SLC2H6       SLC6H6     SLC3H8
 2.500D+01    2.110D+00  1.684D+00  1.873D+00  2.009D+00  1.684D+00  1.968D+00
 4.970D+01    8.170D+00  6.874D+00  7.450D+00  7.861D+00  6.874D+00  7.738D+00
 1.000D+02    1.061D+01  9.458D+00  9.972D+00  1.034D+01  9.458D+00  1.023D+01
 2.002D+02    8.398D+00  7.849D+00  8.093D+00  8.267D+00  7.849D+00  8.215D+00
 2.993D+02    6.590D+00  6.292D+00  6.424D+00  6.519D+00  6.292D+00  6.491D+00
 4.000D+02    5.406D+00  5.224D+00  5.305D+00  5.363D+00  5.224D+00  5.345D+00
 4.995D+02    4.591D+00  4.472D+00  4.525D+00  4.562D+00  4.472D+00  4.551D+00
 6.996D+02    3.544D+00  3.488D+00  3.513D+00  3.531D+00  3.488D+00  3.525D+00
 9.986D+02    2.662D+00  2.643D+00  2.652D+00  2.658D+00  2.643D+00  2.656D+00
 1.998D+03    1.511D+00  1.521D+00  1.516D+00  1.513D+00  1.521D+00  1.514D+00
 2.970D+03    1.064D+00  1.076D+00  1.071D+00  1.067D+00  1.076D+00  1.068D+00
 4.970D+03    6.839D-01  6.985D-01  6.920D-01  6.874D-01  6.985D-01  6.888D-01
 6.972D+03    5.134D-01  5.190D-01  5.165D-01  5.147D-01  5.190D-01  5.153D-01
 1.000D+04    3.756D-01  3.814D-01  3.788D-01  3.770D-01  3.814D-01  3.775D-01
