 ENERGY        CH4         C2H2        C2H4        C2H6        C6H6   
 2.500E+01     2.474E+01   2.194E+01   2.319E+01   2.408E+01   2.194E+01
 4.970E+01     2.244E+01   2.057E+01   2.140E+01   2.199E+01   2.057E+01
 1.000E+02     1.600E+01   1.509E+01   1.549E+01   1.578E+01   1.509E+01
 2.002E+02     9.974E+00   9.610E+00   9.772E+00   9.887E+00   9.610E+00
 2.993E+02     7.315E+00   7.122E+00   7.207E+00   7.269E+00   7.122E+00
 4.000E+02     5.821E+00   5.704E+00   5.756E+00   5.793E+00   5.704E+00
 4.995E+02     4.858E+00   4.783E+00   4.817E+00   4.841E+00   4.783E+00
 6.996E+02     3.681E+00   3.648E+00   3.663E+00   3.673E+00   3.648E+00
 9.986E+02     2.731E+00   2.722E+00   2.726E+00   2.729E+00   2.722E+00
 1.998E+03     1.511E+00   1.521E+00   1.516E+00   1.513E+00   1.521E+00
 2.970E+03     1.064E+00   1.076E+00   1.071E+00   1.067E+00   1.076E+00
 4.970E+03     6.839E-01   6.985E-01   6.920E-01   6.874E-01   6.985E-01
 6.972E+03     5.134E-01   5.190E-01   5.165E-01   5.147E-01   5.190E-01
 1.000E+04     3.756E-01   3.814E-01   3.788E-01   3.770E-01   3.814E-01
