 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     4.119E+00   7.320E+00   5.796E+00   9.838E+00   7.017E+00
 4.970E+01     3.578E+00   8.104E+00   6.821E+00   9.419E+00   6.989E+00
 1.000E+02     2.452E+00   6.793E+00   6.121E+00   7.075E+00   5.513E+00
 2.002E+02     1.481E+00   4.737E+00   4.490E+00   4.591E+00   3.727E+00
 2.993E+02     1.069E+00   3.635E+00   3.517E+00   3.421E+00   2.828E+00
 4.000E+02     8.423E-01   2.969E+00   2.905E+00   2.748E+00   2.295E+00
 4.995E+02     6.978E-01   2.522E+00   2.484E+00   2.308E+00   1.940E+00
 6.996E+02     5.234E-01   1.955E+00   1.943E+00   1.762E+00   1.495E+00
 9.986E+02     3.844E-01   1.480E+00   1.482E+00   1.317E+00   1.125E+00
 1.998E+03     2.091E-01   8.462E-01   8.569E-01   7.367E-01   6.375E-01
 2.970E+03     1.459E-01   6.082E-01   6.160E-01   5.230E-01   4.540E-01
 4.970E+03     9.235E-02   3.938E-01   4.027E-01   3.354E-01   2.937E-01
 6.972E+03     7.057E-02   3.001E-01   3.032E-01   2.559E-01   2.222E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
