 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     2.942E+01   1.307E+01   1.035E+01   2.008E+01   1.671E+01
 4.970E+01     2.556E+01   1.447E+01   1.218E+01   1.922E+01   1.664E+01
 1.000E+02     1.752E+01   1.213E+01   1.093E+01   1.444E+01   1.313E+01
 2.002E+02     1.058E+01   8.459E+00   8.018E+00   9.368E+00   8.872E+00
 2.993E+02     7.636E+00   6.491E+00   6.280E+00   6.982E+00   6.732E+00
 4.000E+02     6.016E+00   5.301E+00   5.187E+00   5.607E+00   5.463E+00
 4.995E+02     4.984E+00   4.503E+00   4.436E+00   4.709E+00   4.619E+00
 6.996E+02     3.738E+00   3.490E+00   3.469E+00   3.596E+00   3.559E+00
 9.986E+02     2.745E+00   2.643E+00   2.646E+00   2.687E+00   2.679E+00
 1.998E+03     1.493E+00   1.511E+00   1.530E+00   1.503E+00   1.518E+00
 2.970E+03     1.042E+00   1.086E+00   1.100E+00   1.067E+00   1.081E+00
 4.970E+03     6.596E-01   7.032E-01   7.190E-01   6.845E-01   6.992E-01
 6.972E+03     5.040E-01   5.358E-01   5.414E-01   5.222E-01   5.289E-01
 1.000E+04     3.660E-01   3.940E-01   3.996E-01   3.820E-01   3.884E-01
