 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     1.941E+01   2.204E+01   2.151E+01   2.072E+01   2.135E+01
 4.970E+01     1.883E+01   2.060E+01   2.023E+01   1.973E+01   2.008E+01
 1.000E+02     1.424E+01   1.510E+01   1.492E+01   1.468E+01   1.484E+01
 2.002E+02     9.281E+00   9.623E+00   9.554E+00   9.452E+00   9.521E+00
 2.993E+02     6.941E+00   7.124E+00   7.086E+00   7.035E+00   7.075E+00
 4.000E+02     5.589E+00   5.701E+00   5.676E+00   5.648E+00   5.675E+00
 4.995E+02     4.703E+00   4.777E+00   4.759E+00   4.745E+00   4.762E+00
 6.996E+02     3.603E+00   3.638E+00   3.627E+00   3.626E+00   3.635E+00
 9.986E+02     2.699E+00   2.711E+00   2.705E+00   2.711E+00   2.714E+00
 1.998E+03     1.518E+00   1.512E+00   1.509E+00   1.520E+00   1.518E+00
 2.970E+03     1.079E+00   1.070E+00   1.069E+00   1.078E+00   1.075E+00
 4.970E+03     6.998E-01   6.892E-01   6.880E-01   6.991E-01   6.959E-01
 6.972E+03     5.238E-01   5.186E-01   5.196E-01   5.214E-01   5.201E-01
 1.000E+04     3.850E-01   3.800E-01   3.805E-01   3.831E-01   3.818E-01
