 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     1.739E+01   1.800E+01   1.822E+01   1.801E+01   1.737E+01   1.974E+01   1.862E+01
 4.970E+01     1.735E+01   1.786E+01   1.793E+01   1.782E+01   1.739E+01   1.882E+01   1.813E+01
 1.000E+02     1.351E+01   1.377E+01   1.379E+01   1.374E+01   1.354E+01   1.423E+01   1.389E+01
 2.002E+02     9.001E+00   9.099E+00   9.111E+00   9.091E+00   9.010E+00   9.321E+00   9.172E+00
 2.993E+02     6.794E+00   6.841E+00   6.853E+00   6.840E+00   6.796E+00   6.993E+00   6.900E+00
 4.000E+02     5.500E+00   5.525E+00   5.536E+00   5.526E+00   5.497E+00   5.641E+00   5.575E+00
 4.995E+02     4.644E+00   4.659E+00   4.668E+00   4.660E+00   4.640E+00   4.752E+00   4.701E+00
 6.996E+02     3.573E+00   3.578E+00   3.586E+00   3.580E+00   3.569E+00   3.645E+00   3.611E+00
 9.986E+02     2.687E+00   2.687E+00   2.693E+00   2.689E+00   2.683E+00   2.734E+00   2.712E+00
 1.998E+03     1.521E+00   1.517E+00   1.520E+00   1.518E+00   1.518E+00   1.541E+00   1.532E+00
 2.970E+03     1.084E+00   1.081E+00   1.082E+00   1.081E+00   1.082E+00   1.095E+00   1.090E+00
 4.970E+03     7.041E-01   7.006E-01   7.024E-01   7.012E-01   7.021E-01   7.086E-01   7.066E-01
 6.972E+03     5.277E-01   5.265E-01   5.261E-01   5.265E-01   5.277E-01   5.307E-01   5.295E-01
 1.000E+04     3.882E-01   3.870E-01   3.869E-01   3.870E-01   3.880E-01   3.894E-01   3.890E-01
