 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     3.950E-01   3.355E-01   2.243E-01   7.602E-01   5.071E-01
 4.970E+01     1.446E+00   2.100E+00   1.635E+00   3.220E+00   2.264E+00
 1.000E+02     1.756E+00   3.856E+00   3.405E+00   4.562E+00   3.458E+00
 2.002E+02     1.304E+00   3.728E+00   3.535E+00   3.820E+00   3.072E+00
 2.993E+02     9.924E-01   3.145E+00   3.052E+00   3.061E+00   2.518E+00
 4.000E+02     7.995E-01   2.681E+00   2.631E+00   2.540E+00   2.115E+00
 4.995E+02     6.705E-01   2.333E+00   2.305E+00   2.172E+00   1.823E+00
 6.996E+02     5.094E-01   1.857E+00   1.848E+00   1.692E+00   1.433E+00
 9.986E+02     3.773E-01   1.431E+00   1.434E+00   1.281E+00   1.094E+00
 1.998E+03     2.091E-01   8.462E-01   8.569E-01   7.367E-01   6.375E-01
 2.970E+03     1.459E-01   6.082E-01   6.160E-01   5.230E-01   4.540E-01
 4.970E+03     9.235E-02   3.938E-01   4.027E-01   3.354E-01   2.937E-01
 6.972E+03     7.057E-02   3.001E-01   3.032E-01   2.559E-01   2.222E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
