 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     2.821E+00   5.990E-01   4.005E-01   1.551E+00   1.207E+00
 4.970E+01     1.033E+01   3.750E+00   2.920E+00   6.570E+00   5.390E+00
 1.000E+02     1.254E+01   6.885E+00   6.080E+00   9.309E+00   8.233E+00
 2.002E+02     9.313E+00   6.657E+00   6.312E+00   7.796E+00   7.313E+00
 2.993E+02     7.088E+00   5.615E+00   5.450E+00   6.246E+00   5.996E+00
 4.000E+02     5.710E+00   4.787E+00   4.697E+00   5.183E+00   5.035E+00
 4.995E+02     4.789E+00   4.165E+00   4.115E+00   4.432E+00   4.340E+00
 6.996E+02     3.638E+00   3.315E+00   3.300E+00   3.453E+00   3.413E+00
 9.986E+02     2.695E+00   2.555E+00   2.560E+00   2.615E+00   2.605E+00
 1.998E+03     1.493E+00   1.511E+00   1.530E+00   1.503E+00   1.518E+00
 2.970E+03     1.042E+00   1.086E+00   1.100E+00   1.067E+00   1.081E+00
 4.970E+03     6.596E-01   7.032E-01   7.190E-01   6.845E-01   6.992E-01
 6.972E+03     5.040E-01   5.358E-01   5.414E-01   5.222E-01   5.289E-01
 1.000E+04     3.660E-01   3.940E-01   3.996E-01   3.820E-01   3.884E-01
