 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     1.282E+00   1.667E+00   1.578E+00   1.483E+00   1.552E+00
 4.970E+01     5.583E+00   6.769E+00   6.478E+00   6.228E+00   6.349E+00
 1.000E+02     8.141E+00   9.241E+00   8.928E+00   8.800E+00   8.788E+00
 2.002E+02     7.008E+00   7.584E+00   7.366E+00   7.428E+00   7.316E+00
 2.993E+02     5.692E+00   6.041E+00   5.876E+00   5.992E+00   5.866E+00
 4.000E+02     4.759E+00   4.997E+00   4.865E+00   4.992E+00   4.870E+00
 4.995E+02     4.092E+00   4.266E+00   4.155E+00   4.282E+00   4.168E+00
 6.996E+02     3.209E+00   3.316E+00   3.232E+00   3.348E+00   3.250E+00
 9.986E+02     2.443E+00   2.506E+00   2.444E+00   2.543E+00   2.463E+00
 1.998E+03     1.417E+00   1.436E+00   1.402E+00   1.469E+00   1.417E+00
 2.970E+03     1.007E+00   1.016E+00   9.926E-01   1.042E+00   1.003E+00
 4.970E+03     6.532E-01   6.548E-01   6.388E-01   6.758E-01   6.495E-01
 6.972E+03     4.889E-01   4.927E-01   4.825E-01   5.040E-01   4.854E-01
 1.000E+04     3.593E-01   3.610E-01   3.534E-01   3.703E-01   3.563E-01
