 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     1.374E+00   1.755E+00   1.700E+00   1.534E+00   1.663E+00
 4.970E+01     5.981E+00   7.126E+00   6.976E+00   6.443E+00   6.803E+00
 1.000E+02     8.723E+00   9.727E+00   9.615E+00   9.103E+00   9.416E+00
 2.002E+02     7.508E+00   7.983E+00   7.933E+00   7.684E+00   7.838E+00
 2.993E+02     6.098E+00   6.359E+00   6.328E+00   6.198E+00   6.285E+00
 4.000E+02     5.099E+00   5.260E+00   5.239E+00   5.164E+00   5.218E+00
 4.995E+02     4.384E+00   4.491E+00   4.475E+00   4.429E+00   4.466E+00
 6.996E+02     3.438E+00   3.491E+00   3.481E+00   3.464E+00   3.482E+00
 9.986E+02     2.618E+00   2.638E+00   2.632E+00   2.631E+00   2.639E+00
 1.998E+03     1.518E+00   1.512E+00   1.509E+00   1.520E+00   1.518E+00
 2.970E+03     1.079E+00   1.070E+00   1.069E+00   1.078E+00   1.075E+00
 4.970E+03     6.998E-01   6.892E-01   6.880E-01   6.991E-01   6.959E-01
 6.972E+03     5.238E-01   5.186E-01   5.196E-01   5.214E-01   5.201E-01
 1.000E+04     3.850E-01   3.800E-01   3.805E-01   3.831E-01   3.818E-01
