 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     1.157E+00   1.202E+00   1.260E+00   1.224E+00   1.136E+00   1.396E+00   1.272E+00
 4.970E+01     5.301E+00   5.486E+00   5.608E+00   5.527E+00   5.276E+00   5.907E+00   5.593E+00
 1.000E+02     8.136E+00   8.314E+00   8.398E+00   8.342E+00   8.132E+00   8.684E+00   8.404E+00
 2.002E+02     7.243E+00   7.319E+00   7.364E+00   7.336E+00   7.237E+00   7.557E+00   7.399E+00
 2.993E+02     5.954E+00   5.991E+00   6.021E+00   6.003E+00   5.947E+00   6.161E+00   6.058E+00
 4.000E+02     5.010E+00   5.030E+00   5.052E+00   5.039E+00   5.003E+00   5.161E+00   5.086E+00
 4.995E+02     4.324E+00   4.335E+00   4.353E+00   4.342E+00   4.317E+00   4.441E+00   4.384E+00
 6.996E+02     3.408E+00   3.411E+00   3.423E+00   3.415E+00   3.402E+00   3.486E+00   3.448E+00
 9.986E+02     2.605E+00   2.604E+00   2.612E+00   2.607E+00   2.600E+00   2.655E+00   2.631E+00
 1.998E+03     1.521E+00   1.517E+00   1.520E+00   1.518E+00   1.518E+00   1.541E+00   1.532E+00
 2.970E+03     1.084E+00   1.081E+00   1.082E+00   1.081E+00   1.082E+00   1.095E+00   1.090E+00
 4.970E+03     7.041E-01   7.006E-01   7.024E-01   7.012E-01   7.021E-01   7.086E-01   7.066E-01
 6.972E+03     5.277E-01   5.265E-01   5.261E-01   5.265E-01   5.277E-01   5.307E-01   5.295E-01
 1.000E+04     3.882E-01   3.870E-01   3.869E-01   3.870E-01   3.880E-01   3.894E-01   3.890E-01
