 ENERGY       CH4       C2H2       C2H4       C2H6        C6H6        C3H8
 2.500D+01    4.727D+00  4.714D+00  6.294D+00  7.874D+00  1.414D+01  1.102D+01
 4.970D+01    1.830D+01  1.925D+01  2.503D+01  3.082D+01  5.775D+01  4.334D+01
 1.000D+02    2.378D+01  2.648D+01  3.351D+01  4.053D+01  7.945D+01  5.728D+01
 2.002D+02    1.881D+01  2.198D+01  2.719D+01  3.241D+01  6.593D+01  4.601D+01
 2.993D+02    1.476D+01  1.762D+01  2.159D+01  2.556D+01  5.285D+01  3.635D+01
 4.000D+02    1.211D+01  1.463D+01  1.783D+01  2.102D+01  4.388D+01  2.994D+01
 4.995D+02    1.028D+01  1.252D+01  1.520D+01  1.789D+01  3.757D+01  2.549D+01
 6.996D+02    7.939D+00  9.766D+00  1.180D+01  1.384D+01  2.930D+01  1.974D+01
 9.986D+02    5.964D+00  7.401D+00  8.910D+00  1.042D+01  2.220D+01  1.487D+01
 1.998D+03    3.384D+00  4.259D+00  5.095D+00  5.932D+00  1.278D+01  8.479D+00
 2.970D+03    2.383D+00  3.014D+00  3.598D+00  4.182D+00  9.043D+00  5.981D+00
 4.970D+03    1.532D+00  1.956D+00  2.325D+00  2.695D+00  5.868D+00  3.857D+00
 6.972D+03    1.150D+00  1.453D+00  1.736D+00  2.018D+00  4.360D+00  2.886D+00
 1.000D+04    8.414D-01  1.068D+00  1.273D+00  1.478D+00  3.204D+00  2.114D+00
