 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     2.898E+02   3.350E+02   3.196E+02   3.204E+02   3.189E+02
 4.970E+01     2.811E+02   3.131E+02   3.005E+02   3.051E+02   2.999E+02
 1.000E+02     2.127E+02   2.296E+02   2.217E+02   2.270E+02   2.216E+02
 2.002E+02     1.386E+02   1.463E+02   1.420E+02   1.462E+02   1.422E+02
 2.993E+02     1.037E+02   1.083E+02   1.053E+02   1.088E+02   1.057E+02
 4.000E+02     8.346E+01   8.666E+01   8.433E+01   8.736E+01   8.474E+01
 4.995E+02     7.023E+01   7.261E+01   7.070E+01   7.338E+01   7.112E+01
 6.996E+02     5.380E+01   5.530E+01   5.389E+01   5.608E+01   5.428E+01
 9.986E+02     4.031E+01   4.121E+01   4.019E+01   4.193E+01   4.053E+01
 1.998E+03     2.267E+01   2.298E+01   2.243E+01   2.350E+01   2.267E+01
 2.970E+03     1.612E+01   1.626E+01   1.588E+01   1.667E+01   1.605E+01
 4.970E+03     1.045E+01   1.048E+01   1.022E+01   1.081E+01   1.039E+01
 6.972E+03     7.823E+00   7.883E+00   7.719E+00   8.064E+00   7.767E+00
 1.000E+04     5.749E+00   5.776E+00   5.654E+00   5.925E+00   5.701E+00
