 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     2.783E+02   2.880E+02   2.915E+02   2.882E+02   2.780E+02   3.158E+02   2.979E+02
 4.970E+01     2.776E+02   2.857E+02   2.868E+02   2.851E+02   2.783E+02   3.012E+02   2.901E+02
 1.000E+02     2.161E+02   2.204E+02   2.206E+02   2.199E+02   2.167E+02   2.277E+02   2.223E+02
 2.002E+02     1.440E+02   1.456E+02   1.458E+02   1.455E+02   1.442E+02   1.491E+02   1.468E+02
 2.993E+02     1.087E+02   1.095E+02   1.097E+02   1.094E+02   1.087E+02   1.119E+02   1.104E+02
 4.000E+02     8.799E+01   8.840E+01   8.858E+01   8.841E+01   8.796E+01   9.026E+01   8.920E+01
 4.995E+02     7.430E+01   7.454E+01   7.470E+01   7.456E+01   7.425E+01   7.603E+01   7.522E+01
 6.996E+02     5.717E+01   5.724E+01   5.737E+01   5.727E+01   5.710E+01   5.832E+01   5.778E+01
 9.986E+02     4.300E+01   4.299E+01   4.309E+01   4.302E+01   4.294E+01   4.374E+01   4.340E+01
 1.998E+03     2.433E+01   2.427E+01   2.432E+01   2.429E+01   2.428E+01   2.466E+01   2.451E+01
 2.970E+03     1.734E+01   1.729E+01   1.731E+01   1.730E+01   1.732E+01   1.751E+01   1.744E+01
 4.970E+03     1.127E+01   1.121E+01   1.124E+01   1.122E+01   1.123E+01   1.134E+01   1.131E+01
 6.972E+03     8.444E+00   8.424E+00   8.418E+00   8.424E+00   8.443E+00   8.492E+00   8.472E+00
 1.000E+04     6.212E+00   6.192E+00   6.190E+00   6.192E+00   6.208E+00   6.231E+00   6.224E+00
