 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     1.414E-04   3.849E-05   1.394E-05   2.314E-04   1.484E-04
 4.970E+01     4.277E-02   3.186E-02   1.928E-02   8.009E-02   5.241E-02
 1.000E+02     3.134E-01   4.534E-01   3.656E-01   6.967E-01   4.962E-01
 2.002E+02     5.085E-01   1.035E+00   9.477E-01   1.280E+00   9.823E-01
 2.993E+02     5.067E-01   1.176E+00   1.110E+00   1.348E+00   1.062E+00
 4.000E+02     4.713E-01   1.191E+00   1.138E+00   1.302E+00   1.040E+00
 4.995E+02     4.325E-01   1.164E+00   1.120E+00   1.231E+00   9.926E-01
 6.996E+02     3.660E-01   1.078E+00   1.048E+00   1.088E+00   8.902E-01
 9.986E+02     2.955E-01   9.494E-01   9.319E-01   9.180E-01   7.615E-01
 1.998E+03     1.811E-01   6.658E-01   6.659E-01   6.046E-01   5.141E-01
 2.970E+03     1.323E-01   5.146E-01   5.189E-01   4.558E-01   3.918E-01
 4.970E+03     8.952E-02   3.618E-01   3.661E-01   3.152E-01   2.726E-01
 6.972E+03     6.734E-02   2.799E-01   2.826E-01   2.410E-01   2.086E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
