 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     6.432E-03   6.894E-03   7.309E-03   6.883E-03   6.184E-03   9.259E-03   7.984E-03
 4.970E+01     1.824E+00   1.987E+00   2.036E+00   1.974E+00   1.813E+00   2.128E+00   1.984E+00
 1.000E+02     1.585E+01   1.715E+01   1.711E+01   1.695E+01   1.606E+01   1.700E+01   1.646E+01
 2.002E+02     3.048E+01   3.250E+01   3.218E+01   3.210E+01   3.095E+01   3.176E+01   3.120E+01
 2.993E+02     3.312E+01   3.515E+01   3.471E+01   3.467E+01   3.365E+01   3.417E+01   3.374E+01
 4.000E+02     3.272E+01   3.467E+01   3.414E+01   3.415E+01   3.327E+01   3.353E+01   3.324E+01
 4.995E+02     3.145E+01   3.327E+01   3.271E+01   3.275E+01   3.199E+01   3.205E+01   3.187E+01
 6.996E+02     2.849E+01   3.008E+01   2.950E+01   2.957E+01   2.900E+01   2.880E+01   2.877E+01
 9.986E+02     2.457E+01   2.590E+01   2.534E+01   2.542E+01   2.502E+01   2.464E+01   2.472E+01
 1.998E+03     1.673E+01   1.757E+01   1.715E+01   1.722E+01   1.704E+01   1.657E+01   1.673E+01
 2.970E+03     1.286E+01   1.348E+01   1.315E+01   1.321E+01   1.310E+01   1.265E+01   1.282E+01
 4.970E+03     8.905E+00   9.326E+00   9.087E+00   9.137E+00   9.074E+00   8.716E+00   8.854E+00
 6.972E+03     6.838E+00   7.165E+00   6.970E+00   7.014E+00   6.974E+00   6.668E+00   6.787E+00
 1.000E+04     5.324E+00   5.573E+00   5.416E+00   5.455E+00   5.432E+00   5.176E+00   5.277E+00
