 ENERGY        SLCH4       SLC2H2      SLC2H4       SLC2H6        SLC6H6   
 2.500E+01     3.959E+02   3.510E+02   3.710E+02   3.852E+02   3.510E+02
 4.970E+01     3.590E+02   3.291E+02   3.424E+02   3.519E+02   3.291E+02
 1.000E+02     2.560E+02   2.414E+02   2.479E+02   2.525E+02   2.414E+02
 2.002E+02     1.596E+02   1.538E+02   1.564E+02   1.582E+02   1.538E+02
 2.993E+02     1.170E+02   1.139E+02   1.153E+02   1.163E+02   1.139E+02
 4.000E+02     9.314E+01   9.126E+01   9.210E+01   9.269E+01   9.126E+01
 4.995E+02     7.774E+01   7.653E+01   7.707E+01   7.745E+01   7.653E+01
 6.996E+02     5.890E+01   5.836E+01   5.860E+01   5.877E+01   5.836E+01
 9.986E+02     4.369E+01   4.355E+01   4.361E+01   4.366E+01   4.355E+01
 1.998E+03     2.417E+01   2.434E+01   2.426E+01   2.421E+01   2.434E+01
 2.970E+03     1.702E+01   1.722E+01   1.713E+01   1.707E+01   1.722E+01
 4.970E+03     1.094E+01   1.118E+01   1.107E+01   1.100E+01   1.118E+01
 6.972E+03     8.214E+00   8.305E+00   8.265E+00   8.236E+00   8.305E+00
 1.000E+04     6.010E+00   6.102E+00   6.061E+00   6.032E+00   6.102E+00
