 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     4.707E+02   2.091E+02   1.656E+02   3.212E+02   2.673E+02
 4.970E+01     4.089E+02   2.315E+02   1.949E+02   3.075E+02   2.662E+02
 1.000E+02     2.803E+02   1.941E+02   1.749E+02   2.310E+02   2.100E+02
 2.002E+02     1.693E+02   1.353E+02   1.283E+02   1.499E+02   1.420E+02
 2.993E+02     1.222E+02   1.039E+02   1.005E+02   1.117E+02   1.077E+02
 4.000E+02     9.626E+01   8.482E+01   8.299E+01   8.972E+01   8.741E+01
 4.995E+02     7.974E+01   7.205E+01   7.098E+01   7.535E+01   7.390E+01
 6.996E+02     5.981E+01   5.584E+01   5.550E+01   5.754E+01   5.694E+01
 9.986E+02     4.392E+01   4.229E+01   4.234E+01   4.299E+01   4.287E+01
 1.998E+03     2.389E+01   2.418E+01   2.448E+01   2.405E+01   2.428E+01
 2.970E+03     1.668E+01   1.738E+01   1.760E+01   1.708E+01   1.729E+01
 4.970E+03     1.055E+01   1.125E+01   1.150E+01   1.095E+01   1.119E+01
 6.972E+03     8.064E+00   8.573E+00   8.662E+00   8.355E+00   8.463E+00
 1.000E+04     5.857E+00   6.304E+00   6.394E+00   6.112E+00   6.215E+00
