 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     3.105E+02   3.526E+02   3.442E+02   3.315E+02   3.416E+02
 4.970E+01     3.012E+02   3.295E+02   3.236E+02   3.156E+02   3.213E+02
 1.000E+02     2.279E+02   2.417E+02   2.388E+02   2.349E+02   2.374E+02
 2.002E+02     1.485E+02   1.540E+02   1.529E+02   1.512E+02   1.523E+02
 2.993E+02     1.111E+02   1.140E+02   1.134E+02   1.126E+02   1.132E+02
 4.000E+02     8.942E+01   9.122E+01   9.082E+01   9.037E+01   9.080E+01
 4.995E+02     7.525E+01   7.643E+01   7.614E+01   7.591E+01   7.620E+01
 6.996E+02     5.764E+01   5.821E+01   5.803E+01   5.801E+01   5.816E+01
 9.986E+02     4.319E+01   4.338E+01   4.328E+01   4.338E+01   4.343E+01
 1.998E+03     2.429E+01   2.419E+01   2.415E+01   2.431E+01   2.429E+01
 2.970E+03     1.727E+01   1.711E+01   1.710E+01   1.724E+01   1.720E+01
 4.970E+03     1.120E+01   1.103E+01   1.101E+01   1.119E+01   1.113E+01
 6.972E+03     8.381E+00   8.298E+00   8.313E+00   8.342E+00   8.321E+00
 1.000E+04     6.160E+00   6.080E+00   6.089E+00   6.130E+00   6.109E+00
