 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     2.385E+02   2.592E+02   2.551E+02   2.539E+02   2.432E+02   2.624E+02   2.526E+02
 4.970E+01     2.379E+02   2.571E+02   2.510E+02   2.511E+02   2.435E+02   2.502E+02   2.460E+02
 1.000E+02     1.852E+02   1.983E+02   1.931E+02   1.937E+02   1.896E+02   1.891E+02   1.885E+02
 2.002E+02     1.234E+02   1.310E+02   1.276E+02   1.281E+02   1.261E+02   1.239E+02   1.244E+02
 2.993E+02     9.318E+01   9.852E+01   9.595E+01   9.641E+01   9.514E+01   9.296E+01   9.360E+01
 4.000E+02     7.542E+01   7.956E+01   7.751E+01   7.789E+01   7.696E+01   7.498E+01   7.562E+01
 4.995E+02     6.369E+01   6.708E+01   6.536E+01   6.569E+01   6.497E+01   6.316E+01   6.377E+01
 6.996E+02     4.900E+01   5.152E+01   5.020E+01   5.046E+01   4.996E+01   4.845E+01   4.899E+01
 9.986E+02     3.686E+01   3.869E+01   3.770E+01   3.790E+01   3.757E+01   3.634E+01   3.679E+01
 1.998E+03     2.086E+01   2.184E+01   2.128E+01   2.140E+01   2.125E+01   2.049E+01   2.078E+01
 2.970E+03     1.486E+01   1.556E+01   1.515E+01   1.524E+01   1.515E+01   1.455E+01   1.478E+01
 4.970E+03     9.656E+00   1.009E+01   9.833E+00   9.883E+00   9.829E+00   9.419E+00   9.585E+00
 6.972E+03     7.237E+00   7.581E+00   7.366E+00   7.421E+00   7.388E+00   7.055E+00   7.183E+00
 1.000E+04     5.324E+00   5.573E+00   5.416E+00   5.455E+00   5.432E+00   5.176E+00   5.277E+00
