 ENERGY        CH4         C2H2        C2H4        C2H6        C6H6   
 2.500E+01     1.413E-02   1.291E-02   1.345E-02   1.384E-02   1.291E-02
 4.970E+01     3.861E+00   3.246E+00   3.519E+00   3.715E+00   3.246E+00
 1.000E+02     2.839E+01   2.393E+01   2.591E+01   2.733E+01   2.393E+01
 2.002E+02     4.763E+01   4.134E+01   4.414E+01   4.613E+01   4.134E+01
 2.993E+02     4.885E+01   4.342E+01   4.584E+01   4.756E+01   4.342E+01
 4.000E+02     4.652E+01   4.211E+01   4.407E+01   4.547E+01   4.211E+01
 4.995E+02     4.350E+01   3.995E+01   4.153E+01   4.266E+01   3.995E+01
 6.996E+02     3.789E+01   3.553E+01   3.658E+01   3.733E+01   3.553E+01
 9.986E+02     3.147E+01   3.009E+01   3.071E+01   3.114E+01   3.009E+01
 1.998E+03     2.021E+01   1.992E+01   2.005E+01   2.014E+01   1.992E+01
 2.970E+03     1.517E+01   1.520E+01   1.519E+01   1.518E+01   1.520E+01
 4.970E+03     1.032E+01   1.038E+01   1.036E+01   1.034E+01   1.038E+01
 6.972E+03     7.843E+00   7.931E+00   7.892E+00   7.864E+00   7.931E+00
 1.000E+04     6.010E+00   6.102E+00   6.061E+00   6.032E+00   6.102E+00
