 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     1.616E-02   1.099E-03   3.983E-04   7.554E-03   5.652E-03
 4.970E+01     4.888E+00   9.103E-01   5.507E-01   2.615E+00   1.996E+00
 1.000E+02     3.581E+01   1.295E+01   1.045E+01   2.275E+01   1.890E+01
 2.002E+02     5.811E+01   2.957E+01   2.707E+01   4.180E+01   3.742E+01
 2.993E+02     5.791E+01   3.360E+01   3.170E+01   4.402E+01   4.044E+01
 4.000E+02     5.386E+01   3.402E+01   3.250E+01   4.253E+01   3.962E+01
 4.995E+02     4.943E+01   3.325E+01   3.200E+01   4.018E+01   3.781E+01
 6.996E+02     4.183E+01   3.080E+01   2.995E+01   3.553E+01   3.391E+01
 9.986E+02     3.377E+01   2.712E+01   2.662E+01   2.997E+01   2.901E+01
 1.998E+03     2.070E+01   1.902E+01   1.902E+01   1.974E+01   1.958E+01
 2.970E+03     1.512E+01   1.470E+01   1.482E+01   1.488E+01   1.492E+01
 4.970E+03     1.023E+01   1.034E+01   1.046E+01   1.029E+01   1.038E+01
 6.972E+03     7.696E+00   7.997E+00   8.072E+00   7.868E+00   7.947E+00
 1.000E+04     5.857E+00   6.304E+00   6.394E+00   6.112E+00   6.215E+00
