 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     8.899E-03   1.071E-02   9.541E-03   1.090E-02   1.081E-02
 4.970E+01     2.406E+00   3.027E+00   2.816E+00   2.826E+00   2.889E+00
 1.000E+02     1.941E+01   2.351E+01   2.248E+01   2.167E+01   2.212E+01
 2.002E+02     3.545E+01   4.111E+01   3.982E+01   3.839E+01   3.892E+01
 2.993E+02     3.791E+01   4.291E+01   4.165E+01   4.066E+01   4.090E+01
 4.000E+02     3.715E+01   4.133E+01   4.015E+01   3.963E+01   3.959E+01
 4.995E+02     3.550E+01   3.898E+01   3.789E+01   3.772E+01   3.749E+01
 6.996E+02     3.190E+01   3.438E+01   3.344E+01   3.371E+01   3.325E+01
 9.986E+02     2.730E+01   2.891E+01   2.815E+01   2.870E+01   2.812E+01
 1.998E+03     1.835E+01   1.894E+01   1.846E+01   1.913E+01   1.858E+01
 2.970E+03     1.406E+01   1.432E+01   1.395E+01   1.463E+01   1.413E+01
 4.970E+03     9.678E+00   9.816E+00   9.584E+00   1.003E+01   9.680E+00
 6.972E+03     7.420E+00   7.489E+00   7.316E+00   7.676E+00   7.390E+00
 1.000E+04     5.749E+00   5.776E+00   5.654E+00   5.925E+00   5.701E+00
