 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     9.534E-03   1.128E-02   1.028E-02   1.128E-02   1.159E-02
 4.970E+01     2.578E+00   3.186E+00   3.032E+00   2.923E+00   3.095E+00
 1.000E+02     2.080E+01   2.475E+01   2.421E+01   2.242E+01   2.370E+01
 2.002E+02     3.798E+01   4.328E+01   4.288E+01   3.972E+01   4.170E+01
 2.993E+02     4.062E+01   4.517E+01   4.486E+01   4.207E+01   4.382E+01
 4.000E+02     3.980E+01   4.350E+01   4.324E+01   4.100E+01   4.242E+01
 4.995E+02     3.803E+01   4.103E+01   4.080E+01   3.902E+01   4.017E+01
 6.996E+02     3.418E+01   3.619E+01   3.601E+01   3.487E+01   3.563E+01
 9.986E+02     2.925E+01   3.044E+01   3.031E+01   2.968E+01   3.012E+01
 1.998E+03     1.966E+01   1.994E+01   1.988E+01   1.979E+01   1.990E+01
 2.970E+03     1.506E+01   1.508E+01   1.502E+01   1.513E+01   1.514E+01
 4.970E+03     1.037E+01   1.033E+01   1.032E+01   1.038E+01   1.037E+01
 6.972E+03     7.950E+00   7.883E+00   7.879E+00   7.940E+00   7.918E+00
 1.000E+04     6.160E+00   6.080E+00   6.089E+00   6.130E+00   6.109E+00
