 ENERGY        CH4         C2H2        C2H4        C2H6        C6H6   
 2.500E+01     6.186E+00   5.485E+00   5.796E+00   6.019E+00   5.485E+00
 4.970E+01     5.610E+00   5.142E+00   5.350E+00   5.498E+00   5.142E+00
 1.000E+02     3.999E+00   3.772E+00   3.873E+00   3.945E+00   3.772E+00
 2.002E+02     2.494E+00   2.403E+00   2.443E+00   2.472E+00   2.403E+00
 2.993E+02     1.829E+00   1.780E+00   1.802E+00   1.817E+00   1.780E+00
 4.000E+02     1.455E+00   1.426E+00   1.439E+00   1.448E+00   1.426E+00
 4.995E+02     1.215E+00   1.196E+00   1.204E+00   1.210E+00   1.196E+00
 6.996E+02     9.204E-01   9.119E-01   9.157E-01   9.184E-01   9.119E-01
 9.986E+02     6.826E-01   6.805E-01   6.814E-01   6.821E-01   6.805E-01
 1.998E+03     3.777E-01   3.803E-01   3.791E-01   3.783E-01   3.803E-01
 2.970E+03     2.659E-01   2.691E-01   2.677E-01   2.667E-01   2.691E-01
 4.970E+03     1.710E-01   1.746E-01   1.730E-01   1.718E-01   1.746E-01
 6.972E+03     1.284E-01   1.298E-01   1.291E-01   1.287E-01   1.298E-01
 1.000E+04     9.390E-02   9.534E-02   9.470E-02   9.425E-02   9.534E-02
