 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     7.354E+00   3.268E+00   2.587E+00   5.019E+00   4.176E+00
 4.970E+01     6.389E+00   3.618E+00   3.045E+00   4.805E+00   4.160E+00
 1.000E+02     4.379E+00   3.033E+00   2.732E+00   3.610E+00   3.281E+00
 2.002E+02     2.645E+00   2.115E+00   2.005E+00   2.342E+00   2.218E+00
 2.993E+02     1.909E+00   1.623E+00   1.570E+00   1.745E+00   1.683E+00
 4.000E+02     1.504E+00   1.325E+00   1.297E+00   1.402E+00   1.366E+00
 4.995E+02     1.246E+00   1.126E+00   1.109E+00   1.177E+00   1.155E+00
 6.996E+02     9.345E-01   8.725E-01   8.672E-01   8.991E-01   8.897E-01
 9.986E+02     6.863E-01   6.607E-01   6.615E-01   6.717E-01   6.698E-01
 1.998E+03     3.733E-01   3.777E-01   3.825E-01   3.758E-01   3.794E-01
 2.970E+03     2.606E-01   2.715E-01   2.750E-01   2.668E-01   2.702E-01
 4.970E+03     1.649E-01   1.758E-01   1.797E-01   1.711E-01   1.748E-01
 6.972E+03     1.260E-01   1.340E-01   1.353E-01   1.305E-01   1.322E-01
 1.000E+04     9.151E-02   9.850E-02   9.990E-02   9.550E-02   9.710E-02
