 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     4.851E+00   5.510E+00   5.378E+00   5.179E+00   5.338E+00
 4.970E+01     4.706E+00   5.149E+00   5.057E+00   4.932E+00   5.020E+00
 1.000E+02     3.561E+00   3.776E+00   3.731E+00   3.670E+00   3.710E+00
 2.002E+02     2.320E+00   2.406E+00   2.389E+00   2.363E+00   2.380E+00
 2.993E+02     1.735E+00   1.781E+00   1.771E+00   1.759E+00   1.769E+00
 4.000E+02     1.397E+00   1.425E+00   1.419E+00   1.412E+00   1.419E+00
 4.995E+02     1.176E+00   1.194E+00   1.190E+00   1.186E+00   1.191E+00
 6.996E+02     9.006E-01   9.096E-01   9.067E-01   9.065E-01   9.088E-01
 9.986E+02     6.748E-01   6.778E-01   6.762E-01   6.777E-01   6.786E-01
 1.998E+03     3.795E-01   3.779E-01   3.773E-01   3.799E-01   3.796E-01
 2.970E+03     2.698E-01   2.674E-01   2.672E-01   2.694E-01   2.687E-01
 4.970E+03     1.750E-01   1.723E-01   1.720E-01   1.748E-01   1.740E-01
 6.972E+03     1.310E-01   1.297E-01   1.299E-01   1.303E-01   1.300E-01
 1.000E+04     9.624E-02   9.500E-02   9.513E-02   9.578E-02   9.545E-02
